Medicine Name,Used for ,Activity,pregnancy category,Alcohol,Rating,No of Reviews,,Medicine Name222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acticlate,Acne,7%,D(evidence of risk),contains alcohol,5.7,8,,Acticlate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide / clindamycin,Acne,7%,C(risk cannot be ruled out),not contains alcohol,7.6,570,,benzoyl peroxide / clindamycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxy 100,Acne,7%,D(evidence of risk),contains alcohol,9,5,,Doxy 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keflex,Acne,7%,B(no risk in animal studies),not contains alcohol,7.5,4,,Keflex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfamethoxazole / trimethoprim,Acne,7%,D(evidence of risk),contains alcohol,7.7,193,,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzaclin,Acne,6%,C(risk cannot be ruled out),not contains alcohol,8.2,94,,Benzaclin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monodox,Acne,6%,D(evidence of risk),contains alcohol,7.8,32,,Monodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targadox,Acne,6%,D(evidence of risk),contains alcohol,5,1,,Targadox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoxa,Acne,5%,D(evidence of risk),contains alcohol,8.8,5,,Adoxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoxa ck,Acne,5%,D(evidence of risk),contains alcohol,,,,Adoxa CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoxa pak,Acne,5%,D(evidence of risk),contains alcohol,,,,Adoxa Pak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoxa tt,Acne,5%,D(evidence of risk),contains alcohol,,,,Adoxa TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avidoxy,Acne,5%,D(evidence of risk),contains alcohol,,,,Avidoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bactrim ds,Acne,5%,D(evidence of risk),contains alcohol,6,32,,Bactrim DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleocin t,Acne,5%,B(no risk in animal studies),not contains alcohol,,,,Cleocin T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindagel,Acne,5%,B(no risk in animal studies),not contains alcohol,10,2,,Clindagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doryx mpc,Acne,5%,D(evidence of risk),contains alcohol,,,,Doryx MPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erythromycin,Acne,5%,B(no risk in animal studies),not contains alcohol,10,1,,erythromycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morgidox,Acne,5%,D(evidence of risk),contains alcohol,,,,Morgidox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oraxyl,Acne,5%,D(evidence of risk),contains alcohol,,,,Oraxyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claravis,Acne,4%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,8.2,116,,Claravis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinda-derm,Acne,4%,B(no risk in animal studies),not contains alcohol,,,,Clinda-Derm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evoclin,Acne,4%,B(no risk in animal studies),not contains alcohol,,,,Evoclin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minocin,Acne,4%,D(evidence of risk),not contains alcohol,6.7,13,,Minocin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaz,Acne,4%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,6.7,267,,Yaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapalene / benzoyl peroxide,Acne,3%,C(risk cannot be ruled out),not contains alcohol,7.3,909,,adapalene / benzoyl peroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindacin etz,Acne,3%,B(no risk in animal studies),not contains alcohol,,,,Clindacin ETZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindacin p,Acne,3%,B(no risk in animal studies),not contains alcohol,,,,Clindacin P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindacin pac,Acne,3%,B(no risk in animal studies),not contains alcohol,,,,Clindacin PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindareach pledget,Acne,3%,B(no risk in animal studies),not contains alcohol,,,,ClindaReach Pledget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindets,Acne,3%,B(no risk in animal studies),not contains alcohol,,,,Clindets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk of magnesia,Acne,3%,N,not contains alcohol,7,1,,Milk of Magnesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
septra ds,Acne,3%,D(evidence of risk),contains alcohol,,,,Septra DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yasmin,Acne,3%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,6.4,193,,Yasmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziana,Acne,3%,C(risk cannot be ruled out),not contains alcohol,7.5,76,,Ziana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorica,Acne,2%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,6.6,5,,Absorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanya,Acne,2%,C(risk cannot be ruled out),not contains alcohol,7.3,57,,Acanya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnesteem,Acne,2%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.8,27,,Amnesteem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azelaic acid,Acne,2%,B(no risk in animal studies),not contains alcohol,7.4,35,,azelaic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co-trimoxazole,Acne,2%,D(evidence of risk),contains alcohol,9,2,,Co-trimoxazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapsone,Acne,2%,C(risk cannot be ruled out),not contains alcohol,7.3,252,,dapsone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duac,Acne,2%,C(risk cannot be ruled out),not contains alcohol,7.3,274,,Duac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emcin clear,Acne,2%,B(no risk in animal studies),not contains alcohol,,,,Emcin Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epiduo forte,Acne,2%,C(risk cannot be ruled out),not contains alcohol,7.2,115,,Epiduo Forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erygel,Acne,2%,B(no risk in animal studies),not contains alcohol,,,,Erygel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ery pads,Acne,2%,B(no risk in animal studies),not contains alcohol,10,1,,Ery Pads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myorisan,Acne,2%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,8.7,10,,Myorisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onexton,Acne,2%,C(risk cannot be ruled out),not contains alcohol,8.6,33,,Onexton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phillips' milk of magnesia,Acne,2%,N,not contains alcohol,8,1,,Phillips' Milk of Magnesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salicylic acid,Acne,2%,C(risk cannot be ruled out),not contains alcohol,7,3,,salicylic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotex,Acne,2%,B(no risk in animal studies),not contains alcohol,,,,Spotex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theramycin z,Acne,2%,B(no risk in animal studies),not contains alcohol,,,,Theramycin Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorica ld,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Absorica LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achromycin v,Acne,1%,D(evidence of risk),not contains alcohol,,,,Achromycin V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acne treatment,Acne,1%,C(risk cannot be ruled out),not contains alcohol,,,,Acne Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnex,Acne,1%,C(risk cannot be ruled out),not contains alcohol,10,1,,Acnex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ala-tet,Acne,1%,D(evidence of risk),not contains alcohol,,,,Ala-Tet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amzeeq,Acne,1%,D(evidence of risk),not contains alcohol,9,1,,Amzeeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atralin,Acne,1%,C(risk cannot be ruled out),not contains alcohol,8.1,35,,Atralin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avita,Acne,1%,C(risk cannot be ruled out),not contains alcohol,10,1,,Avita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azelex,Acne,1%,B(no risk in animal studies),not contains alcohol,7.4,5,,Azelex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzamycin,Acne,1%,C(risk cannot be ruled out),not contains alcohol,7.7,9,,Benzamycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide / erythromycin,Acne,1%,C(risk cannot be ruled out),not contains alcohol,7.6,54,,benzoyl peroxide / erythromycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide / sulfur,Acne,1%,C(risk cannot be ruled out),not contains alcohol,10,2,,benzoyl peroxide / sulfur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyaz,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.3,34,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brodspec,Acne,1%,D(evidence of risk),not contains alcohol,,,,Brodspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleeravue-m,Acne,1%,D(evidence of risk),not contains alcohol,,,,Cleeravue-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clindamycin / tretinoin,Acne,1%,C(risk cannot be ruled out),not contains alcohol,7.6,183,,clindamycin / tretinoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drospirenone / ethinyl estradiol,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,6.4,669,,drospirenone / ethinyl estradiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynacin,Acne,1%,D(evidence of risk),not contains alcohol,8,1,,Dynacin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estarylla,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,4.8,32,,Estarylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethinyl estradiol / norgestimate,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,5.4,489,,ethinyl estradiol / norgestimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gianvi,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.3,54,,Gianvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loryna,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,5.7,45,,Loryna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium hydroxide,Acne,1%,N,not contains alcohol,8.3,3,,magnesium hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minocycline,Acne,1%,D(evidence of risk),not contains alcohol,9,1,,minocycline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minolira,Acne,1%,D(evidence of risk),not contains alcohol,,,,Minolira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocella,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.5,25,,Ocella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panoxyl,Acne,1%,C(risk cannot be ruled out),not contains alcohol,8.5,6,,PanOxyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panoxyl 10% acne foaming wash,Acne,1%,C(risk cannot be ruled out),not contains alcohol,9.5,2,,PanOxyl 10% Acne Foaming Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seysara,Acne,1%,,not contains alcohol,8.7,7,,Seysara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sotret,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,8,3,,Sotret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfacetamide sodium/sulfur,Acne,1%,C(risk cannot be ruled out),not contains alcohol,7.5,36,,sulfacetamide sodium/sulfur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tazarotene,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),not contains alcohol,7.3,52,,tazarotene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri-previfem,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,5.2,36,,Tri-Previfem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri-sprintec,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,5,149,,Tri-Sprintec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veltin,Acne,1%,C(risk cannot be ruled out),not contains alcohol,7.4,42,,Veltin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ximino,Acne,1%,D(evidence of risk),not contains alcohol,,,,Ximino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenatane,Acne,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,7.7,11,,Zenatane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetoxyl,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acetoxyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acne-10,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acne-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acne-clear,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acne-Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnevir,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acnevir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnomel,Acne,0%,N,not contains alcohol,5,1,,Acnomel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnomel acne mask,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acnomel Acne Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnomel bp 5,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Acnomel BP 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aklief,Acne,0%,,not contains alcohol,,,,Aklief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aktipak,Acne,0%,C(risk cannot be ruled out),not contains alcohol,8,1,,Aktipak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akurza,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Akurza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliclen,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Aliclen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alquam-x acne therapy gel,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Alquam-X Acne Therapy Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altabax,Acne,0%,B(no risk in animal studies),not contains alcohol,8.3,3,,Altabax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altreno,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Altreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arazlo,Acne,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),not contains alcohol,2,3,,Arazlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar,Acne,0%,C(risk cannot be ruled out),not contains alcohol,10,1,,Avar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar-e,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Avar-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar-e green,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Avar-E Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar-e ls,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Avar-E LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar cleanser,Acne,0%,C(risk cannot be ruled out),not contains alcohol,8,1,,Avar Cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar ls,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Avar LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avar ls cleanser,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Avar LS Cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzac,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzac ac,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzac AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzac ac wash,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzac AC Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzac w,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzac W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzagel,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzagel wash,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzagel Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzamycin pak,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzamycin Pak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzashave,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benzashave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzefoam ultra,Acne,0%,C(risk cannot be ruled out),not contains alcohol,10,1,,BenzEFoam Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzepro,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,BenzePro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benziq,Acne,0%,C(risk cannot be ruled out),not contains alcohol,,,,Benziq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
